ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
2024-08-15 00:13:18.779829025,CJMlCL8IKSlDL0z14,10.8.15.133,49835,204.79.197.222,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,fp.msedge.net,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:13:20.501683950,COX7Vc34kVMwh4AJg9,10.8.15.133,49836,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:13:20.965893030,Ch5On84j6IB2U4Kpk,10.8.15.133,49837,23.96.180.189,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,fd.api.iris.microsoft.com,F,-,h2,T,CsxuknGIi,"71b7eed0cbf53413f43958d6029445254bc7e11f95c44e72c0a14a68bc7e4baf,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T
2024-08-15 00:13:22.863848925,CszwhR71HwxavQ4l7,10.8.15.133,49839,23.220.103.72,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:13:22.854082108,CJMRQv4BMoeyPST4n5,10.8.15.133,49838,23.195.200.230,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,cxcs.microsoft.net,F,-,-,T,CsiI,-,-,-
2024-08-15 00:14:17.844217062,CjEV2C1sE4v0cjc9ok,10.8.15.133,49851,20.60.228.1,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,weathermapdata.blob.core.windows.net,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:14:55.824112892,CKRP67rwFPzDsy91h,10.8.15.133,49858,13.107.21.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"c7e7d6cf1b4ebc82a4ab55595089dad05f6a45dfe54f87c71b2fbf5f159179ec,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
2024-08-15 00:15:09.364795923,CTUaNF2t2xzX4Mei1h,10.8.15.133,49861,52.109.0.136,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,mrodevicemgr.officeapps.live.com,F,-,h2,T,CsxuknGIi,"f3a53f14ae39c449b7d2c5e1677a8934256004077ccd618f7219f27c71da0447,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
2024-08-15 00:15:09.941164970,CG4K4E2rgcOMyB0cI5,10.8.15.133,49862,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:10.121849060,C0Q6Un3NDCuq6HZBlj,10.8.15.133,49863,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:10.305651903,C5wJET2BBgp4HCLMci,10.8.15.133,49864,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:10.483203888,C1Jl8C1MuBRIFhbC4,10.8.15.133,49865,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:10.660614014,Cmr0wg2YXM4a42JBJg,10.8.15.133,49866,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:10.902863026,CNzykO2vgNhsMNo6Be,10.8.15.133,49867,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:11.133795977,CE5LLY1maN4VNuQYAk,10.8.15.133,49868,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:11.365627050,CyLLRCxNuVeehAcmh,10.8.15.133,49871,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:15:11.245372057,CfIWKL3lJTv6tAl73b,10.8.15.133,49869,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,windows.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:15:11.245835066,CMlN0PXXAXthHXSbf,10.8.15.133,49870,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,windows.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:15:11.842842102,Ce3YwK3Y5RZXHHYnke,10.8.15.133,49874,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,www.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:15:12.259202003,CRvobT1t9EQpdbu3Ca,10.8.15.133,49875,23.223.31.34,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:15:12.354568005,C2UNzZ3KZiLBgllkS,10.8.15.133,49876,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,api.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:15:12.962917089,Csnh1zWtmE7tJyLQ3,10.8.15.133,49877,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,srtb.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:15:13.063117027,CJAc6F0iYGNcuuHl1,10.8.15.133,49878,23.223.31.34,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:15:13.202065945,CzuYW03az8EBolyjcg,10.8.15.133,49879,23.205.110.12,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,img-s-msn-com.akamaized.net,F,-,-,T,CsiI,-,-,-
2024-08-15 00:15:13.241765022,CCQMc31HeGNv0JPNYa,10.8.15.133,49880,23.220.103.72,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,th.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:15:13.302499056,CBguwg4sGWn32N5GTl,10.8.15.133,49881,23.60.57.94,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,img.s-msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:15:13.205044031,CwLVcZ3nX7fJ5DYvU9,10.8.15.133,61658,23.220.103.72,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,th.bing.com,F,-,-,F,Cs,-,-,-
2024-08-15 00:16:28.001569033,CNd9WN2NnySHX2hEa7,10.8.15.133,49896,40.126.29.10,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:16:28.460545063,Cztg7p4JEARrprr0i,10.8.15.133,49897,20.99.184.37,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,displaycatalog.mp.microsoft.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:16:30.338470936,CUWxtN1rZ0kvHsQU57,10.8.15.133,49900,13.85.23.206,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp384r1,fe3cr.delivery.mp.microsoft.com,F,-,h2,T,CsxknGIi,"302098ec01a37e39b3b5b4df1d8ef53dcfa0af41adfef0dbafae041e8d6fc1b6,21158ad4dce10197239a87ebeb4d8d47e9e9be716ad497a2e036774caf5072cf",(empty),T
