ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,label
2025-01-22 20:32:28.268887043,CZSxscKRcTWo4B7ef,10.1.17.215,49958,23.212.73.35,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,oneclient.sfx.ms,F,-,http/1.1,T,CsxuknGIti,"cc774afaa1a20ea56c2b0df8a3e2ff49225fff7ae5025cd1f22e21963b01ad6f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f",(empty),T,0
2025-01-22 20:32:28.884197950,CO357g9xGz2REWWvb,10.1.17.215,49959,52.113.194.132,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ecs.office.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:32:38.738990068,CRSHFNJhNHXJ4hr2l,10.1.17.215,49960,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,prod.client.wosc.services.microsoft.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:32:39.146569967,CeTSof1Mbo2LwdoGif,10.1.17.215,49965,20.190.157.3,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:32:40.620930910,C8Qh3Y2NbHLHZgkmdb,10.1.17.215,49966,20.44.239.154,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,F,-,h2,T,CsxknGIi,"b133a24c294c025d1f20f47f9d380ba0b74936c415d3654facfb62dc7bde31d6,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T,0
2025-01-22 20:32:41.930155993,Cfqji92aGiVSo9Uuw8,10.1.17.215,49967,20.44.239.154,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,settings-win.data.microsoft.com,F,-,h2,T,CsxknGIi,"b133a24c294c025d1f20f47f9d380ba0b74936c415d3654facfb62dc7bde31d6,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T,0
2025-01-22 20:33:00.880964994,CgvSAI2ecP5qeEThDe,10.1.17.215,49968,52.175.242.182,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp384r1,array804.prod.do.dsp.mp.microsoft.com,F,-,h2,T,CsxknGIi,"c537ffba44956e7baf33c6b88f9d000c5a8b618a0628f6dc097c10c2212ba803,e39f93f3b2b40fd3c41de7dfa7d0b0cb6c4d8f97cbab2bb81c178f4b5f3c7eed",(empty),T,0
2025-01-22 20:33:01.401540041,CO8CJT3cpIYOALcypi,10.1.17.215,49969,23.41.240.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,kv801.prod.do.dsp.mp.microsoft.com,F,-,http/1.1,T,CsxuknGIti,"ff999b10ea2fb6f2eef794ae370817d45a9310f9e2104292591c2db6801a6652,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 20:35:49.202538013,C44xQ62y04KDlCvgUe,10.1.17.215,49970,52.113.194.132,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ecs.office.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:37:01.626012087,CORrM29PI4ITb2Jll,10.1.17.215,49971,52.113.194.132,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ecs.office.com,F,-,-,T,CsiI,-,-,-,0
